用户名       ,时间                  ,问题内容,答案内容
ntcwer    ,2025-04-01 12:41:34 ,如果不用公元纪年法，你想用谁的出生作为分割点？,地球。。。。。。 现在应该是46（或者45.5）亿年XX月XX日。
ntcwer    ,2025-04-01 11:27:32 ,三国相关有什么旅游景点？,南京的孙权墓（梅花山，明孝陵就在附近）、石头城遗址（清凉山一带，不过现在只能看到明城墙）。
ntcwer    ,2025-04-01 10:09:13 ,魔爪功能饮料到底有多恐怖？,我喝了没啥感觉，该睡觉还是睡觉，大概可乐喝多了。。。。。。。对这类饮料免疫了。。。。。。
ntcwer    ,2025-04-01 09:18:08 ,为什么现在的人觉得自己穿越回古代，手握70万兵马，就能推翻皇帝？,没啥，就是梦里啥都有。。。。。。。因为都没有真的打过仗，以为打仗和游戏一样，实际上的指挥水平可能就是个某嗨。。。。。。
ntcwer    ,2025-04-01 08:57:35 ,为什么赵匡胤篡位，就不走称王、监国、假节假黄钺、九锡、剑履上殿那一套流程了？,时代变了，原来可能还要做个样子，自从朱温篡唐后，这套行为艺术已经用不着了，不如直接登基。 另外赵匡胤是军队拥戴，直接黄袍加身的，也来不及走流程，花时间走流程就换人了。
ntcwer    ,2025-03-31 14:18:03 ,为什么大家都不玩《绝地求生》了?,我只保留荒野行动，因为可以自己建房间，然后打机器人玩，不管怎样都能吃到鸡。虽然无聊点，但是有时候可以作为消遣。 绝地求生竞技性太强了，人根本打不过，连当做一种消遣都难受，落地成盒体验太差。。。。。。
ntcwer    ,2025-03-31 11:08:00 ,网传台湾渔民捕捞到一头三米长的儒艮，此前在我国「功能性灭绝」的儒艮「打赢复活赛」了吗？,这是好消息，说明儒艮还在这片水域繁衍生息，只是族群数量不明，如果能够追踪到族群，并且进一步采取保护措施，儒艮还是能真正打赢复活赛的。
ntcwer    ,2025-03-28 08:59:30 ,欧美文明超过东方文明的时间，是大明统治时期，还是大清统治时期？,明代宗朱祁钰（1428年9月11日～1457年3月14日）时期开始超越，节点就是1453年，东罗马帝国灭亡，欧洲的中世纪结束。不过明朝一直和欧洲有联系，因此双方差距没有那么大。 真正被拉大差距是在清朝殖民统治时期。 彻底超越是在甲午战争时期，因为甲午战争把“中体西用”的裤衩子都给扒了。。。。。。
ntcwer    ,2025-03-27 09:36:03 ,如果有位皇帝前半生英明神武，晚年昏招频出却没亡国，他的评价会是如何？,我就想到萧衍和李隆基。 萧衍前期还是英明神武的，后期直接昏庸了，侯景之乱把自己送走，不过梁朝没被送走，还是苟延残喘了很长时间。 李隆基是太经典了，前期开元盛世，后期天宝之乱（安史之乱），李隆基去世后唐朝还是延续了145年左右。 评价的话，可以参考毛主席对2人的评价： 萧衍善摄生，食不过量，中年以后不近女人。然予智自雄，小人日进，良佐自远，以至灭亡，不亦宜乎。“专听生奸，独任成乱”，梁武有焉。 “唐明皇不会做皇帝，前半辈会做，后半辈不会做。”
ntcwer    ,2025-03-27 09:20:05 ,假如我拥有31万特种兵带着穿越到古罗马，能否解决罗马三世纪危机以及逆袭成为皇帝?,罗马帝国全盛时期才能拼凑个30万大军，你直接带31万特种兵，还带现代武器。。。。。。 在那时代，你的大军和燃烧军团没区别。。。。。。。
